id,Percentile_Rank,Rapid_Digit_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,16,66,7,60,65,FALSE,FALSE
,16,65,7,60,65,FALSE,FALSE
,25,64,8,60,65,FALSE,FALSE
,25,63,8,60,65,FALSE,FALSE
,25,62,8,60,65,FALSE,FALSE
,25,61,8,60,65,FALSE,FALSE
,25,60,8,60,65,FALSE,FALSE
,25,59,8,60,65,FALSE,FALSE
,25,58,8,60,65,FALSE,FALSE
,37,57,9,60,65,FALSE,FALSE
,37,56,9,60,65,FALSE,FALSE
,37,55,9,60,65,FALSE,FALSE
,37,54,9,60,65,FALSE,FALSE
,37,53,9,60,65,FALSE,FALSE
,37,52,9,60,65,FALSE,FALSE
,37,51,9,60,65,FALSE,FALSE
,50,50,10,60,65,FALSE,FALSE
,50,49,10,60,65,FALSE,FALSE
,50,48,10,60,65,FALSE,FALSE
,50,47,10,60,65,FALSE,FALSE
,50,46,10,60,65,FALSE,FALSE
,50,45,10,60,65,FALSE,FALSE
,50,44,10,60,65,FALSE,FALSE
,50,43,10,60,65,FALSE,FALSE
,63,42,11,60,65,FALSE,FALSE
,63,41,11,60,65,FALSE,FALSE
,63,40,11,60,65,FALSE,FALSE
,63,39,11,60,65,FALSE,FALSE
,63,38,11,60,65,FALSE,FALSE
,63,37,11,60,65,FALSE,FALSE
,63,36,11,60,65,FALSE,FALSE
,63,35,11,60,65,FALSE,FALSE
,75,34,12,60,65,FALSE,FALSE
,75,33,12,60,65,FALSE,FALSE
,75,32,12,60,65,FALSE,FALSE
,75,31,12,60,65,FALSE,FALSE
,75,30,12,60,65,FALSE,FALSE
,84,29,13,60,65,FALSE,FALSE
,84,28,13,60,65,FALSE,FALSE
,84,27,13,60,65,FALSE,FALSE
,84,26,13,60,65,FALSE,FALSE
,84,25,13,60,65,FALSE,FALSE
,84,24,13,60,65,FALSE,FALSE
,91,23,14,60,65,FALSE,FALSE
,91,22,14,60,65,FALSE,FALSE
,91,21,14,60,65,FALSE,FALSE
,91,20,14,60,65,FALSE,FALSE
,91,19,14,60,65,FALSE,FALSE
,91,18,14,60,65,FALSE,FALSE
,95,17,15,60,65,FALSE,FALSE
,95,16,15,60,65,FALSE,FALSE
,95,15,15,60,65,FALSE,FALSE
,95,14,15,60,65,FALSE,FALSE
,95,13,15,60,65,FALSE,FALSE
,95,12,15,60,65,FALSE,FALSE
,98,11,16,60,65,FALSE,FALSE
,99,10,17,60,65,FALSE,FALSE
,100,9,18,60,65,FALSE,FALSE
,100,8,19,60,65,FALSE,FALSE
,100,7,19,60,65,FALSE,FALSE
,100,6,20,60,65,FALSE,TRUE
,0,105,1,56,59,TRUE,FALSE
,0,104,2,56,59,FALSE,FALSE
,0,103,2,56,59,FALSE,FALSE
,0,102,2,56,59,FALSE,FALSE
,0,101,2,56,59,FALSE,FALSE
,0,100,2,56,59,FALSE,FALSE
,0,99,2,56,59,FALSE,FALSE
,0,98,2,56,59,FALSE,FALSE
,1,97,3,56,59,FALSE,FALSE
,1,96,3,56,59,FALSE,FALSE
,1,95,3,56,59,FALSE,FALSE
,1,94,3,56,59,FALSE,FALSE
,1,93,3,56,59,FALSE,FALSE
,1,92,3,56,59,FALSE,FALSE
,1,91,3,56,59,FALSE,FALSE
,1,90,3,56,59,FALSE,FALSE
,2,89,4,56,59,FALSE,FALSE
,2,88,4,56,59,FALSE,FALSE
,2,87,4,56,59,FALSE,FALSE
,2,86,4,56,59,FALSE,FALSE
,2,85,4,56,59,FALSE,FALSE
,5,84,5,56,59,FALSE,FALSE
,5,83,5,56,59,FALSE,FALSE
,5,82,5,56,59,FALSE,FALSE
,5,81,5,56,59,FALSE,FALSE
,5,80,5,56,59,FALSE,FALSE
,9,79,6,56,59,FALSE,FALSE
,9,78,6,56,59,FALSE,FALSE
,9,77,6,56,59,FALSE,FALSE
,9,76,6,56,59,FALSE,FALSE
,9,75,6,56,59,FALSE,FALSE
,16,74,7,56,59,FALSE,FALSE
,16,73,7,56,59,FALSE,FALSE
,16,72,7,56,59,FALSE,FALSE
,16,71,7,56,59,FALSE,FALSE
,25,70,8,56,59,FALSE,FALSE
,25,69,8,56,59,FALSE,FALSE
,25,68,8,56,59,FALSE,FALSE
,25,67,8,56,59,FALSE,FALSE
,25,66,8,56,59,FALSE,FALSE
,25,65,8,56,59,FALSE,FALSE
,37,64,9,56,59,FALSE,FALSE
,37,63,9,56,59,FALSE,FALSE
,37,62,9,56,59,FALSE,FALSE
,37,61,9,56,59,FALSE,FALSE
,37,60,9,56,59,FALSE,FALSE
,37,59,9,56,59,FALSE,FALSE
,37,58,9,56,59,FALSE,FALSE
,50,57,10,56,59,FALSE,FALSE
,50,56,10,56,59,FALSE,FALSE
,50,55,10,56,59,FALSE,FALSE
,50,54,10,56,59,FALSE,FALSE
,50,53,10,56,59,FALSE,FALSE
,50,52,10,56,59,FALSE,FALSE
,50,51,10,56,59,FALSE,FALSE
,63,50,11,56,59,FALSE,FALSE
,63,49,11,56,59,FALSE,FALSE
,63,48,11,56,59,FALSE,FALSE
,63,47,11,56,59,FALSE,FALSE
,63,46,11,56,59,FALSE,FALSE
,63,45,11,56,59,FALSE,FALSE
,63,44,11,56,59,FALSE,FALSE
,63,43,11,56,59,FALSE,FALSE
,75,42,12,56,59,FALSE,FALSE
,75,41,12,56,59,FALSE,FALSE
,75,40,12,56,59,FALSE,FALSE
,75,39,12,56,59,FALSE,FALSE
,75,38,12,56,59,FALSE,FALSE
,75,37,12,56,59,FALSE,FALSE
,75,36,12,56,59,FALSE,FALSE
,75,35,12,56,59,FALSE,FALSE
,84,34,13,56,59,FALSE,FALSE
,84,33,13,56,59,FALSE,FALSE
,84,32,13,56,59,FALSE,FALSE
,84,31,13,56,59,FALSE,FALSE
,84,30,13,56,59,FALSE,FALSE
