id,Percentile_Rank,Blending_Nonwords,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,99,24,17,90,95,FALSE,FALSE
,100,25,18,90,95,FALSE,FALSE
,100,26,18,90,95,FALSE,FALSE
,100,27,19,90,95,FALSE,FALSE
,100,28,19,90,95,FALSE,FALSE
,100,29,19,90,95,FALSE,FALSE
,100,30,20,90,95,TRUE,FALSE
,0,0,1,96,107,FALSE,TRUE
,0,1,1,96,107,FALSE,FALSE
,0,2,1,96,107,FALSE,FALSE
,0,3,1,96,107,FALSE,FALSE
,0,4,2,96,107,FALSE,FALSE
,1,5,3,96,107,FALSE,FALSE
,1,6,3,96,107,FALSE,FALSE
,1,7,3,96,107,FALSE,FALSE
,2,8,4,96,107,FALSE,FALSE
,2,9,4,96,107,FALSE,FALSE
,2,10,4,96,107,FALSE,FALSE
,5,11,5,96,107,FALSE,FALSE
,5,12,5,96,107,FALSE,FALSE
,9,13,6,96,107,FALSE,FALSE
,9,14,6,96,107,FALSE,FALSE
,16,15,7,96,107,FALSE,FALSE
,25,16,8,96,107,FALSE,FALSE
,37,17,9,96,107,FALSE,FALSE
,50,18,10,96,107,FALSE,FALSE
,63,19,11,96,107,FALSE,FALSE
,75,20,12,96,107,FALSE,FALSE
,84,21,13,96,107,FALSE,FALSE
,91,22,14,96,107,FALSE,FALSE
,95,23,15,96,107,FALSE,FALSE
,98,24,16,96,107,FALSE,FALSE
,99,25,17,96,107,FALSE,FALSE
,100,26,18,96,107,FALSE,FALSE
,100,27,18,96,107,FALSE,FALSE
,100,28,19,96,107,FALSE,FALSE
,100,29,19,96,107,FALSE,FALSE
,100,30,20,96,107,TRUE,FALSE
,0,0,1,108,119,FALSE,FALSE
,0,1,1,108,119,FALSE,TRUE
,0,2,1,108,119,FALSE,FALSE
,0,3,1,108,119,FALSE,FALSE
,0,4,1,108,119,FALSE,FALSE
,0,5,2,108,119,FALSE,FALSE
,0,6,2,108,119,FALSE,FALSE
,0,7,2,108,119,FALSE,FALSE
,1,8,3,108,119,FALSE,FALSE
,1,9,3,108,119,FALSE,FALSE
,1,10,3,108,119,FALSE,FALSE
,2,11,4,108,119,FALSE,FALSE
,2,12,4,108,119,FALSE,FALSE
,5,13,5,108,119,FALSE,FALSE
,9,14,6,108,119,FALSE,FALSE
,9,15,6,108,119,FALSE,FALSE
,16,16,7,108,119,FALSE,FALSE
,25,17,8,108,119,FALSE,FALSE
,37,18,9,108,119,FALSE,FALSE
,50,19,10,108,119,FALSE,FALSE
,63,20,11,108,119,FALSE,FALSE
,75,21,12,108,119,FALSE,FALSE
,84,22,13,108,119,FALSE,FALSE
,91,23,14,108,119,FALSE,FALSE
,95,24,15,108,119,FALSE,FALSE
,98,25,16,108,119,FALSE,FALSE
,99,26,17,108,119,FALSE,FALSE
,100,27,18,108,119,FALSE,FALSE
,100,28,19,108,119,FALSE,FALSE
,100,29,19,108,119,FALSE,FALSE
,100,30,20,108,119,TRUE,FALSE
,0,0,1,120,131,FALSE,TRUE
,0,1,1,120,131,FALSE,FALSE
,0,2,1,120,131,FALSE,FALSE
,0,3,1,120,131,FALSE,FALSE
,0,4,1,120,131,FALSE,FALSE
,0,5,1,120,131,FALSE,FALSE
,0,6,1,120,131,FALSE,FALSE
,0,7,1,120,131,FALSE,FALSE
,0,8,2,120,131,FALSE,FALSE
,0,9,2,120,131,FALSE,FALSE
,0,10,2,120,131,FALSE,FALSE
,1,11,3,120,131,FALSE,FALSE
,1,12,3,120,131,FALSE,FALSE
,2,13,4,120,131,FALSE,FALSE
,5,14,5,120,131,FALSE,FALSE
,9,15,6,120,131,FALSE,FALSE
,16,16,7,120,131,FALSE,FALSE
,16,17,7,120,131,FALSE,FALSE
,25,18,8,120,131,FALSE,FALSE
,37,19,9,120,131,FALSE,FALSE
,50,20,10,120,131,FALSE,FALSE
,63,21,11,120,131,FALSE,FALSE
,75,22,12,120,131,FALSE,FALSE
,84,23,13,120,131,FALSE,FALSE
,91,24,14,120,131,FALSE,FALSE
,95,25,15,120,131,FALSE,FALSE
,98,26,16,120,131,FALSE,FALSE
,99,27,17,120,131,FALSE,FALSE
,100,28,18,120,131,FALSE,FALSE
,100,29,19,120,131,FALSE,FALSE
,100,30,20,120,131,TRUE,FALSE
,0,0,1,132,143,FALSE,TRUE
,0,1,1,132,143,FALSE,FALSE
,0,2,1,132,143,FALSE,FALSE
,0,3,1,132,143,FALSE,FALSE
,0,4,1,132,143,FALSE,FALSE
,0,5,1,132,143,FALSE,FALSE
,0,6,1,132,143,FALSE,FALSE
,0,7,1,132,143,FALSE,FALSE
,0,8,2,132,143,FALSE,FALSE
,0,9,2,132,143,FALSE,FALSE
,0,10,2,132,143,FALSE,FALSE
,1,11,3,132,143,FALSE,FALSE
,1,12,3,132,143,FALSE,FALSE
,2,13,4,132,143,FALSE,FALSE
,5,14,5,132,143,FALSE,FALSE
,9,15,6,132,143,FALSE,FALSE
,16,16,7,132,143,FALSE,FALSE
,16,17,7,132,143,FALSE,FALSE
,25,18,8,132,143,FALSE,FALSE
,37,19,9,132,143,FALSE,FALSE
,50,20,10,132,143,FALSE,FALSE
,63,21,11,132,143,FALSE,FALSE
,75,22,12,132,143,FALSE,FALSE
,84,23,13,132,143,FALSE,FALSE
,91,24,14,132,143,FALSE,FALSE
,95,25,15,132,143,FALSE,FALSE
,98,26,16,132,143,FALSE,FALSE
,99,27,17,132,143,FALSE,FALSE
,100,28,18,132,143,FALSE,FALSE
,100,29,19,132,143,FALSE,FALSE
,100,30,20,132,143,TRUE,FALSE
,0,0,1,156,167,FALSE,TRUE
,0,1,1,156,167,FALSE,FALSE
,0,2,1,156,167,FALSE,FALSE
,0,3,1,156,167,FALSE,FALSE
,0,4,1,156,167,FALSE,FALSE
,0,5,1,156,167,FALSE,FALSE
,0,6,1,156,167,FALSE,FALSE
,0,7,1,156,167,FALSE,FALSE
,0,8,1,156,167,FALSE,FALSE
,0,9,1,156,167,FALSE,FALSE
,0,10,2,156,167,FALSE,FALSE
,0,11,2,156,167,FALSE,FALSE
,1,12,3,156,167,FALSE,FALSE
,2,13,4,156,167,FALSE,FALSE
,5,14,5,156,167,FALSE,FALSE
,9,15,6,156,167,FALSE,FALSE
,16,16,7,156,167,FALSE,FALSE
,16,17,7,156,167,FALSE,FALSE
,25,18,8,156,167,FALSE,FALSE
,37,19,9,156,167,FALSE,FALSE
,50,20,10,156,167,FALSE,FALSE
