id,Percentile_Rank,Segmenting_Nonwords,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,95,36,15,48,51,FALSE,FALSE
,95,35,15,48,51,FALSE,FALSE
,95,34,15,48,51,FALSE,FALSE
,95,33,15,48,51,FALSE,FALSE
,95,32,15,48,51,FALSE,FALSE
,98,31,16,48,51,FALSE,FALSE
,98,30,16,48,51,FALSE,FALSE
,98,29,16,48,51,FALSE,FALSE
,98,28,16,48,51,FALSE,FALSE
,98,27,16,48,51,FALSE,FALSE
,98,26,16,48,51,FALSE,FALSE
,98,25,16,48,51,FALSE,FALSE
,98,24,16,48,51,FALSE,FALSE
,98,23,16,48,51,FALSE,FALSE
,99,22,17,48,51,FALSE,FALSE
,99,21,17,48,51,FALSE,FALSE
,99,20,17,48,51,FALSE,FALSE
,99,19,17,48,51,FALSE,FALSE
,99,18,17,48,51,FALSE,FALSE
,99,17,17,48,51,FALSE,FALSE
,99,16,17,48,51,FALSE,FALSE
,100,15,18,48,51,FALSE,FALSE
,100,14,18,48,51,FALSE,FALSE
,100,13,19,48,51,TRUE,FALSE
,0,101,1,60,65,FALSE,TRUE
,0,100,2,60,65,FALSE,FALSE
,0,99,2,60,65,FALSE,FALSE
,0,98,2,60,65,FALSE,FALSE
,0,97,2,60,65,FALSE,FALSE
,0,96,2,60,65,FALSE,FALSE
,1,95,3,60,65,FALSE,FALSE
,1,94,3,60,65,FALSE,FALSE
,1,93,3,60,65,FALSE,FALSE
,1,92,3,60,65,FALSE,FALSE
,1,91,3,60,65,FALSE,FALSE
,2,90,4,60,65,FALSE,FALSE
,2,89,4,60,65,FALSE,FALSE
,2,88,4,60,65,FALSE,FALSE
,2,87,4,60,65,FALSE,FALSE
,2,86,4,60,65,FALSE,FALSE
,5,85,5,60,65,FALSE,FALSE
,5,84,5,60,65,FALSE,FALSE
,5,83,5,60,65,FALSE,FALSE
,5,82,5,60,65,FALSE,FALSE
,5,81,5,60,65,FALSE,FALSE
,9,80,6,60,65,FALSE,FALSE
,9,79,6,60,65,FALSE,FALSE
,9,78,6,60,65,FALSE,FALSE
,9,77,6,60,65,FALSE,FALSE
,9,76,6,60,65,FALSE,FALSE
,16,75,7,60,65,FALSE,FALSE
,16,74,7,60,65,FALSE,FALSE
,16,73,7,60,65,FALSE,FALSE
,16,72,7,60,65,FALSE,FALSE
,16,71,7,60,65,FALSE,FALSE
,16,70,7,60,65,FALSE,FALSE
,25,69,8,60,65,FALSE,FALSE
,25,68,8,60,65,FALSE,FALSE
,25,67,8,60,65,FALSE,FALSE
,25,66,8,60,65,FALSE,FALSE
,37,65,9,60,65,FALSE,FALSE
,37,64,9,60,65,FALSE,FALSE
,37,63,9,60,65,FALSE,FALSE
,37,62,9,60,65,FALSE,FALSE
,37,61,9,60,65,FALSE,FALSE
,37,60,9,60,65,FALSE,FALSE
,50,59,10,60,65,FALSE,FALSE
,50,58,10,60,65,FALSE,FALSE
,50,57,10,60,65,FALSE,FALSE
,50,56,10,60,65,FALSE,FALSE
,50,55,10,60,65,FALSE,FALSE
,63,54,11,60,65,FALSE,FALSE
,63,53,11,60,65,FALSE,FALSE
,63,52,11,60,65,FALSE,FALSE
,63,51,11,60,65,FALSE,FALSE
,63,50,11,60,65,FALSE,FALSE
,75,49,12,60,65,FALSE,FALSE
,75,48,12,60,65,FALSE,FALSE
,75,47,12,60,65,FALSE,FALSE
,75,46,12,60,65,FALSE,FALSE
,75,45,12,60,65,FALSE,FALSE
,84,44,13,60,65,FALSE,FALSE
,84,43,13,60,65,FALSE,FALSE
,84,42,13,60,65,FALSE,FALSE
,84,41,13,60,65,FALSE,FALSE
,84,40,13,60,65,FALSE,FALSE
,84,39,13,60,65,FALSE,FALSE
,91,38,14,60,65,FALSE,FALSE
,91,37,14,60,65,FALSE,FALSE
,91,36,14,60,65,FALSE,FALSE
,91,35,14,60,65,FALSE,FALSE
,95,34,15,60,65,FALSE,FALSE
,95,33,15,60,65,FALSE,FALSE
,95,32,15,60,65,FALSE,FALSE
,95,31,15,60,65,FALSE,FALSE
,95,30,15,60,65,FALSE,FALSE
,95,29,15,60,65,FALSE,FALSE
,98,28,16,60,65,FALSE,FALSE
,98,27,16,60,65,FALSE,FALSE
,98,26,16,60,65,FALSE,FALSE
,98,25,16,60,65,FALSE,FALSE
,98,24,16,60,65,FALSE,FALSE
,98,23,16,60,65,FALSE,FALSE
,98,22,16,60,65,FALSE,FALSE
,98,21,16,60,65,FALSE,FALSE
,98,20,16,60,65,FALSE,FALSE
,98,19,16,60,65,FALSE,FALSE
,99,18,17,60,65,FALSE,FALSE
,99,17,17,60,65,FALSE,FALSE
,99,16,17,60,65,FALSE,FALSE
,99,15,17,60,65,FALSE,FALSE
,99,14,17,60,65,FALSE,FALSE
,100,13,18,60,65,TRUE,FALSE
,0,105,1,56,59,FALSE,TRUE
,0,104,2,56,59,FALSE,FALSE
,0,103,2,56,59,FALSE,FALSE
,0,102,2,56,59,FALSE,FALSE
,0,101,2,56,59,FALSE,FALSE
,0,100,2,56,59,FALSE,FALSE
,0,99,2,56,59,FALSE,FALSE
,1,98,3,56,59,FALSE,FALSE
,1,97,3,56,59,FALSE,FALSE
,1,96,3,56,59,FALSE,FALSE
,1,95,3,56,59,FALSE,FALSE
,1,94,3,56,59,FALSE,FALSE
,2,93,4,56,59,FALSE,FALSE
,2,92,4,56,59,FALSE,FALSE
,2,91,4,56,59,FALSE,FALSE
,2,90,4,56,59,FALSE,FALSE
,2,89,4,56,59,FALSE,FALSE
,5,88,5,56,59,FALSE,FALSE
,5,87,5,56,59,FALSE,FALSE
,5,86,5,56,59,FALSE,FALSE
,5,85,5,56,59,FALSE,FALSE
,5,84,5,56,59,FALSE,FALSE
,5,83,5,56,59,FALSE,FALSE
,9,82,6,56,59,FALSE,FALSE
,9,81,6,56,59,FALSE,FALSE
,9,80,6,56,59,FALSE,FALSE
,9,79,6,56,59,FALSE,FALSE
,9,78,6,56,59,FALSE,FALSE
,16,77,7,56,59,FALSE,FALSE
,16,76,7,56,59,FALSE,FALSE
,16,75,7,56,59,FALSE,FALSE
,16,74,7,56,59,FALSE,FALSE
,16,73,7,56,59,FALSE,FALSE
,16,72,7,56,59,FALSE,FALSE
,25,71,8,56,59,FALSE,FALSE
,25,70,8,56,59,FALSE,FALSE
,25,69,8,56,59,FALSE,FALSE
,25,68,8,56,59,FALSE,FALSE
,25,67,8,56,59,FALSE,FALSE
,37,66,9,56,59,FALSE,FALSE
,37,65,9,56,59,FALSE,FALSE
,37,64,9,56,59,FALSE,FALSE
,37,63,9,56,59,FALSE,FALSE
,37,62,9,56,59,FALSE,FALSE
,50,61,10,56,59,FALSE,FALSE
,50,60,10,56,59,FALSE,FALSE
,50,59,10,56,59,FALSE,FALSE
,50,58,10,56,59,FALSE,FALSE
,50,57,10,56,59,FALSE,FALSE
,50,56,10,56,59,FALSE,FALSE
,63,55,11,56,59,FALSE,FALSE
,63,54,11,56,59,FALSE,FALSE
,63,53,11,56,59,FALSE,FALSE
,63,52,11,56,59,FALSE,FALSE
,63,51,11,56,59,FALSE,FALSE
,75,50,12,56,59,FALSE,FALSE
,75,49,12,56,59,FALSE,FALSE
,75,48,12,56,59,FALSE,FALSE
,75,47,12,56,59,FALSE,FALSE
,75,46,12,56,59,FALSE,FALSE
,84,45,13,56,59,FALSE,FALSE
,84,44,13,56,59,FALSE,FALSE
,84,43,13,56,59,FALSE,FALSE
,84,42,13,56,59,FALSE,FALSE
,84,41,13,56,59,FALSE,FALSE
,91,40,14,56,59,FALSE,FALSE
,91,39,14,56,59,FALSE,FALSE
,91,38,14,56,59,FALSE,FALSE
,91,37,14,56,59,FALSE,FALSE
,91,36,14,56,59,FALSE,FALSE
,95,35,15,56,59,FALSE,FALSE
,95,34,15,56,59,FALSE,FALSE
,95,33,15,56,59,FALSE,FALSE
,95,32,15,56,59,FALSE,FALSE
,95,31,15,56,59,FALSE,FALSE
,95,30,15,56,59,FALSE,FALSE
,98,29,16,56,59,FALSE,FALSE
,98,28,16,56,59,FALSE,FALSE
,98,27,16,56,59,FALSE,FALSE
,98,26,16,56,59,FALSE,FALSE
,98,25,16,56,59,FALSE,FALSE
,98,24,16,56,59,FALSE,FALSE
,98,23,16,56,59,FALSE,FALSE
,98,22,16,56,59,FALSE,FALSE
,98,21,16,56,59,FALSE,FALSE
,98,20,16,56,59,FALSE,FALSE
,98,19,16,56,59,FALSE,FALSE
,99,18,17,56,59,FALSE,FALSE
,99,17,17,56,59,FALSE,FALSE
,99,16,17,56,59,FALSE,FALSE
,99,15,17,56,59,FALSE,FALSE
,100,14,18,56,59,FALSE,FALSE
,100,13,19,56,59,TRUE,FALSE
,0,96,1,66,71,FALSE,TRUE
,0,95,2,66,71,FALSE,FALSE
,0,94,2,66,71,FALSE,FALSE
,0,93,2,66,71,FALSE,FALSE
,0,92,2,66,71,FALSE,FALSE
,0,91,2,66,71,FALSE,FALSE
,1,90,3,66,71,FALSE,FALSE
,1,89,3,66,71,FALSE,FALSE
,1,88,3,66,71,FALSE,FALSE
,1,87,3,66,71,FALSE,FALSE
,1,86,3,66,71,FALSE,FALSE
,2,85,4,66,71,FALSE,FALSE
,2,84,4,66,71,FALSE,FALSE
,2,83,4,66,71,FALSE,FALSE
,2,82,4,66,71,FALSE,FALSE
,2,81,4,66,71,FALSE,FALSE
,5,80,5,66,71,FALSE,FALSE
,5,79,5,66,71,FALSE,FALSE
,5,78,5,66,71,FALSE,FALSE
,5,77,5,66,71,FALSE,FALSE
,5,76,5,66,71,FALSE,FALSE
,9,75,6,66,71,FALSE,FALSE
,9,74,6,66,71,FALSE,FALSE
,9,73,6,66,71,FALSE,FALSE
,9,72,6,66,71,FALSE,FALSE
,9,71,6,66,71,FALSE,FALSE
,9,70,6,66,71,FALSE,FALSE
,16,69,7,66,71,FALSE,FALSE
,16,68,7,66,71,FALSE,FALSE
,16,67,7,66,71,FALSE,FALSE
,16,66,7,66,71,FALSE,FALSE
,16,65,7,66,71,FALSE,FALSE
,25,64,8,66,71,FALSE,FALSE
,25,63,8,66,71,FALSE,FALSE
,25,62,8,66,71,FALSE,FALSE
,25,61,8,66,71,FALSE,FALSE
,25,60,8,66,71,FALSE,FALSE
,37,59,9,66,71,FALSE,FALSE
,37,58,9,66,71,FALSE,FALSE
,37,57,9,66,71,FALSE,FALSE
,37,56,9,66,71,FALSE,FALSE
,37,55,9,66,71,FALSE,FALSE
,50,54,10,66,71,FALSE,FALSE
,50,53,10,66,71,FALSE,FALSE
,50,52,10,66,71,FALSE,FALSE
,50,51,10,66,71,FALSE,FALSE
,50,50,10,66,71,FALSE,FALSE
,63,49,11,66,71,FALSE,FALSE
,63,48,11,66,71,FALSE,FALSE
,63,47,11,66,71,FALSE,FALSE
,63,46,11,66,71,FALSE,FALSE
,75,45,12,66,71,FALSE,FALSE
,75,44,12,66,71,FALSE,FALSE
,75,43,12,66,71,FALSE,FALSE
,75,42,12,66,71,FALSE,FALSE
,75,41,12,66,71,FALSE,FALSE
,75,40,12,66,71,FALSE,FALSE
,84,39,13,66,71,FALSE,FALSE
,84,38,13,66,71,FALSE,FALSE
,84,37,13,66,71,FALSE,FALSE
,84,36,13,66,71,FALSE,FALSE
,84,35,13,66,71,FALSE,FALSE
,91,34,14,66,71,FALSE,FALSE
,91,33,14,66,71,FALSE,FALSE
,91,32,14,66,71,FALSE,FALSE
,91,31,14,66,71,FALSE,FALSE
,91,30,14,66,71,FALSE,FALSE
,95,29,15,66,71,FALSE,FALSE
,95,28,15,66,71,FALSE,FALSE
,95,27,15,66,71,FALSE,FALSE
,95,26,15,66,71,FALSE,FALSE
,95,25,15,66,71,FALSE,FALSE
,98,24,16,66,71,FALSE,FALSE
,98,23,16,66,71,FALSE,FALSE
,98,22,16,66,71,FALSE,FALSE
,98,21,16,66,71,FALSE,FALSE
,98,20,16,66,71,FALSE,FALSE
,98,19,16,66,71,FALSE,FALSE
,98,18,16,66,71,FALSE,FALSE
,99,17,17,66,71,FALSE,FALSE
,99,16,17,66,71,FALSE,FALSE
,99,15,17,66,71,FALSE,FALSE
,99,14,17,66,71,FALSE,FALSE
,100,13,18,66,71,TRUE,FALSE
,0,91,1,72,77,FALSE,TRUE
,0,90,2,72,77,FALSE,FALSE
,0,89,2,72,77,FALSE,FALSE
,0,88,2,72,77,FALSE,FALSE
,0,87,2,72,77,FALSE,FALSE
,0,86,2,72,77,FALSE,FALSE
,1,85,3,72,77,FALSE,FALSE
,1,84,3,72,77,FALSE,FALSE
,1,83,3,72,77,FALSE,FALSE
,1,82,3,72,77,FALSE,FALSE
,1,81,3,72,77,FALSE,FALSE
,2,80,4,72,77,FALSE,FALSE
,2,79,4,72,77,FALSE,FALSE
,2,78,4,72,77,FALSE,FALSE
,2,77,4,72,77,FALSE,FALSE
,2,76,4,72,77,FALSE,FALSE
,5,75,5,72,77,FALSE,FALSE
,5,74,5,72,77,FALSE,FALSE
,5,73,5,72,77,FALSE,FALSE
,5,72,5,72,77,FALSE,FALSE
,5,71,5,72,77,FALSE,FALSE
,5,70,5,72,77,FALSE,FALSE
,9,69,6,72,77,FALSE,FALSE
,9,68,6,72,77,FALSE,FALSE
,9,67,6,72,77,FALSE,FALSE
,9,66,6,72,77,FALSE,FALSE
,9,65,6,72,77,FALSE,FALSE
,16,64,7,72,77,FALSE,FALSE
,16,63,7,72,77,FALSE,FALSE
,16,62,7,72,77,FALSE,FALSE
,16,61,7,72,77,FALSE,FALSE
,16,60,7,72,77,FALSE,FALSE
,25,59,8,72,77,FALSE,FALSE
,25,58,8,72,77,FALSE,FALSE
,25,57,8,72,77,FALSE,FALSE
,25,56,8,72,77,FALSE,FALSE
,25,55,8,72,77,FALSE,FALSE
,37,54,9,72,77,FALSE,FALSE
,37,53,9,72,77,FALSE,FALSE
,37,52,9,72,77,FALSE,FALSE
,37,51,9,72,77,FALSE,FALSE
,37,50,9,72,77,FALSE,FALSE
,50,49,10,72,77,FALSE,FALSE
,50,48,10,72,77,FALSE,FALSE
,50,47,10,72,77,FALSE,FALSE
,50,46,10,72,77,FALSE,FALSE
,63,45,11,72,77,FALSE,FALSE
,63,44,11,72,77,FALSE,FALSE
,63,43,11,72,77,FALSE,FALSE
,63,42,11,72,77,FALSE,FALSE
,63,41,11,72,77,FALSE,FALSE
,63,40,11,72,77,FALSE,FALSE
,75,39,12,72,77,FALSE,FALSE
,75,38,12,72,77,FALSE,FALSE
,75,37,12,72,77,FALSE,FALSE
,75,36,12,72,77,FALSE,FALSE
,75,35,12,72,77,FALSE,FALSE
,84,34,13,72,77,FALSE,FALSE
,84,33,13,72,77,FALSE,FALSE
,84,32,13,72,77,FALSE,FALSE
,84,31,13,72,77,FALSE,FALSE
,84,30,13,72,77,FALSE,FALSE
,91,29,14,72,77,FALSE,FALSE
,91,28,14,72,77,FALSE,FALSE
,91,27,14,72,77,FALSE,FALSE
,91,26,14,72,77,FALSE,FALSE
,95,25,15,72,77,FALSE,FALSE
,95,24,15,72,77,FALSE,FALSE
,95,23,15,72,77,FALSE,FALSE
,95,22,15,72,77,FALSE,FALSE
,95,21,15,72,77,FALSE,FALSE
,95,20,15,72,77,FALSE,FALSE
,95,19,15,72,77,FALSE,FALSE
,95,18,15,72,77,FALSE,FALSE
,98,17,16,72,77,FALSE,FALSE
,98,16,16,72,77,FALSE,FALSE
,99,15,17,72,77,FALSE,FALSE
,99,14,17,72,77,FALSE,FALSE
,100,13,18,72,77,TRUE,FALSE
,0,86,1,78,83,FALSE,TRUE
,0,85,2,78,83,FALSE,FALSE
,0,84,2,78,83,FALSE,FALSE
,0,83,2,78,83,FALSE,FALSE
,0,82,2,78,83,FALSE,FALSE
,0,81,2,78,83,FALSE,FALSE
,1,80,3,78,83,FALSE,FALSE
,1,79,3,78,83,FALSE,FALSE
,1,78,3,78,83,FALSE,FALSE
,1,77,3,78,83,FALSE,FALSE
,1,76,3,78,83,FALSE,FALSE
,2,75,4,78,83,FALSE,FALSE
,2,74,4,78,83,FALSE,FALSE
,2,73,4,78,83,FALSE,FALSE
,2,72,4,78,83,FALSE,FALSE
,2,71,4,78,83,FALSE,FALSE
,5,70,5,78,83,FALSE,FALSE
,5,69,5,78,83,FALSE,FALSE
,5,68,5,78,83,FALSE,FALSE
,5,67,5,78,83,FALSE,FALSE
,9,66,6,78,83,FALSE,FALSE
,9,65,6,78,83,FALSE,FALSE
,9,64,6,78,83,FALSE,FALSE
,9,63,6,78,83,FALSE,FALSE
,9,62,6,78,83,FALSE,FALSE
,16,61,7,78,83,FALSE,FALSE
,16,60,7,78,83,FALSE,FALSE
,16,59,7,78,83,FALSE,FALSE
,16,58,7,78,83,FALSE,FALSE
,16,57,7,78,83,FALSE,FALSE
,25,56,8,78,83,FALSE,FALSE
,25,55,8,78,83,FALSE,FALSE
,25,54,8,78,83,FALSE,FALSE
,25,53,8,78,83,FALSE,FALSE
,37,52,9,78,83,FALSE,FALSE
,37,51,9,78,83,FALSE,FALSE
,37,50,9,78,83,FALSE,FALSE
,37,49,9,78,83,FALSE,FALSE
,37,48,9,78,83,FALSE,FALSE
,50,47,10,78,83,FALSE,FALSE
,50,46,10,78,83,FALSE,FALSE
,50,45,10,78,83,FALSE,FALSE
,50,44,10,78,83,FALSE,FALSE
,63,43,11,78,83,FALSE,FALSE
,63,42,11,78,83,FALSE,FALSE
,63,41,11,78,83,FALSE,FALSE
,63,40,11,78,83,FALSE,FALSE
,63,39,11,78,83,FALSE,FALSE
,75,38,12,78,83,FALSE,FALSE
,75,37,12,78,83,FALSE,FALSE
,75,36,12,78,83,FALSE,FALSE
,75,35,12,78,83,FALSE,FALSE
,75,34,12,78,83,FALSE,FALSE
,84,33,13,78,83,FALSE,FALSE
,84,32,13,78,83,FALSE,FALSE
,84,31,13,78,83,FALSE,FALSE
,84,30,13,78,83,FALSE,FALSE
,84,29,13,78,83,FALSE,FALSE
,84,28,13,78,83,FALSE,FALSE
,91,27,14,78,83,FALSE,FALSE
,91,26,14,78,83,FALSE,FALSE
,91,25,14,78,83,FALSE,FALSE
,95,24,15,78,83,FALSE,FALSE
,95,23,15,78,83,FALSE,FALSE
,95,22,15,78,83,FALSE,FALSE
,95,21,15,78,83,FALSE,FALSE
,95,20,15,78,83,FALSE,FALSE
,95,19,15,78,83,FALSE,FALSE
,95,18,15,78,83,FALSE,FALSE
,95,17,15,78,83,FALSE,FALSE
,95,16,15,78,83,FALSE,FALSE
,98,15,16,78,83,FALSE,FALSE
,98,14,16,78,83,FALSE,FALSE
,99,13,17,78,83,TRUE,FALSE
,0,0,2,84,89,FALSE,TRUE
,0,1,2,84,89,FALSE,FALSE
,1,2,3,84,89,FALSE,FALSE
,1,3,3,84,89,FALSE,FALSE
,1,4,3,84,89,FALSE,FALSE
,2,5,4,84,89,FALSE,FALSE
,2,6,4,84,89,FALSE,FALSE
,5,7,5,84,89,FALSE,FALSE
,5,8,5,84,89,FALSE,FALSE
,5,9,5,84,89,FALSE,FALSE
,9,10,6,84,89,FALSE,FALSE
,9,11,6,84,89,FALSE,FALSE
,16,12,7,84,89,FALSE,FALSE
,16,13,7,84,89,FALSE,FALSE
,25,14,8,84,89,FALSE,FALSE
,25,15,8,84,89,FALSE,FALSE
,37,16,9,84,89,FALSE,FALSE
