id,Percentile_Rank,Nonword_Repitition,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,10,2,132,143,FALSE,FALSE
,1,11,3,132,143,FALSE,FALSE
,2,12,4,132,143,FALSE,FALSE
,5,13,5,132,143,FALSE,FALSE
,9,14,6,132,143,FALSE,FALSE
,16,15,7,132,143,FALSE,FALSE
,25,16,8,132,143,FALSE,FALSE
,37,17,9,132,143,FALSE,FALSE
,50,18,10,132,143,FALSE,FALSE
,63,19,11,132,143,FALSE,FALSE
,75,20,12,132,143,FALSE,FALSE
,84,21,13,132,143,FALSE,FALSE
,91,22,14,132,143,FALSE,FALSE
,95,23,15,132,143,FALSE,FALSE
,98,24,16,132,143,FALSE,FALSE
,99,25,17,132,143,FALSE,FALSE
,100,26,18,132,143,FALSE,FALSE
,100,27,19,132,143,FALSE,FALSE
,100,28,19,132,143,FALSE,FALSE
,100,29,20,132,143,TRUE,FALSE
,0,0,1,156,167,FALSE,TRUE
,0,1,1,156,167,FALSE,FALSE
,0,2,1,156,167,FALSE,FALSE
,0,3,1,156,167,FALSE,FALSE
,0,4,1,156,167,FALSE,FALSE
,0,5,1,156,167,FALSE,FALSE
,0,6,1,156,167,FALSE,FALSE
,0,7,1,156,167,FALSE,FALSE
,0,8,1,156,167,FALSE,FALSE
,0,9,2,156,167,FALSE,FALSE
,0,10,2,156,167,FALSE,FALSE
,1,11,3,156,167,FALSE,FALSE
,2,12,4,156,167,FALSE,FALSE
,5,13,5,156,167,FALSE,FALSE
,5,14,5,156,167,FALSE,FALSE
,9,15,6,156,167,FALSE,FALSE
,16,16,7,156,167,FALSE,FALSE
,25,17,8,156,167,FALSE,FALSE
,37,18,9,156,167,FALSE,FALSE
,50,19,10,156,167,FALSE,FALSE
,63,20,11,156,167,FALSE,FALSE
,75,21,12,156,167,FALSE,FALSE
,84,22,13,156,167,FALSE,FALSE
,91,23,14,156,167,FALSE,FALSE
,95,24,15,156,167,FALSE,FALSE
,98,25,16,156,167,FALSE,FALSE
,99,26,17,156,167,FALSE,FALSE
,100,27,18,156,167,FALSE,FALSE
,100,28,18,156,167,FALSE,FALSE
,100,29,19,156,167,FALSE,FALSE
,100,30,20,156,167,TRUE,FALSE
,0,0,1,168,179,FALSE,TRUE
,0,1,1,168,179,FALSE,FALSE
,0,2,1,168,179,FALSE,FALSE
,0,3,1,168,179,FALSE,FALSE
,0,4,1,168,179,FALSE,FALSE
,0,5,1,168,179,FALSE,FALSE
,0,6,1,168,179,FALSE,FALSE
,0,7,1,168,179,FALSE,FALSE
,0,8,1,168,179,FALSE,FALSE
,0,9,2,168,179,FALSE,FALSE
,0,10,2,168,179,FALSE,FALSE
,1,11,3,168,179,FALSE,FALSE
,2,12,4,168,179,FALSE,FALSE
,5,13,5,168,179,FALSE,FALSE
,5,14,5,168,179,FALSE,FALSE
,9,15,6,168,179,FALSE,FALSE
,9,16,6,168,179,FALSE,FALSE
,16,17,7,168,179,FALSE,FALSE
,25,18,8,168,179,FALSE,FALSE
,37,19,9,168,179,FALSE,FALSE
,50,20,10,168,179,FALSE,FALSE
,63,21,11,168,179,FALSE,FALSE
,75,22,12,168,179,FALSE,FALSE
,84,23,13,168,179,FALSE,FALSE
,91,24,14,168,179,FALSE,FALSE
,95,25,15,168,179,FALSE,FALSE
,98,26,16,168,179,FALSE,FALSE
,99,27,17,168,179,FALSE,FALSE
,100,28,18,168,179,FALSE,FALSE
,100,29,19,168,179,FALSE,FALSE
,100,30,20,168,179,TRUE,FALSE
,0,0,1,180,299,FALSE,TRUE
,0,1,1,180,299,FALSE,FALSE
,0,2,1,180,299,FALSE,FALSE
,0,3,1,180,299,FALSE,FALSE
,0,4,1,180,299,FALSE,FALSE
,0,5,1,180,299,FALSE,FALSE
,0,6,1,180,299,FALSE,FALSE
,0,7,1,180,299,FALSE,FALSE
,0,8,1,180,299,FALSE,FALSE
,0,9,2,180,299,FALSE,FALSE
,0,10,2,180,299,FALSE,FALSE
,1,11,3,180,299,FALSE,FALSE
,2,12,4,180,299,FALSE,FALSE
,5,13,5,180,299,FALSE,FALSE
,5,14,5,180,299,FALSE,FALSE
,9,15,6,180,299,FALSE,FALSE
,9,16,6,180,299,FALSE,FALSE
,16,17,7,180,299,FALSE,FALSE
,25,18,8,180,299,FALSE,FALSE
,37,19,9,180,299,FALSE,FALSE
,50,20,10,180,299,FALSE,FALSE
,63,21,11,180,299,FALSE,FALSE
,75,22,12,180,299,FALSE,FALSE
,84,23,13,180,299,FALSE,FALSE
,91,24,14,180,299,FALSE,FALSE
,95,25,15,180,299,FALSE,FALSE
,98,26,16,180,299,FALSE,FALSE
,99,27,17,180,299,FALSE,FALSE
,100,28,18,180,299,FALSE,FALSE
,100,29,19,180,299,FALSE,FALSE
,100,30,20,180,299,TRUE,FALSE
