id,percentiile_Rank,Elision,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,91,25,14,72,77,FALSE,FALSE
,91,26,14,72,77,FALSE,FALSE
,95,27,15,72,77,FALSE,FALSE
,95,28,15,72,77,FALSE,FALSE
,98,29,16,72,77,FALSE,FALSE
,99,30,17,72,77,FALSE,FALSE
,99,31,17,72,77,FALSE,FALSE
,100,32,18,72,77,FALSE,FALSE
,100,33,18,72,77,FALSE,FALSE
,100,34,18,72,77,TRUE,FALSE
,0,0,2,78,83,FALSE,TRUE
,1,1,3,78,83,FALSE,FALSE
,2,2,4,78,83,FALSE,FALSE
,5,3,5,78,83,FALSE,FALSE
,9,4,6,78,83,FALSE,FALSE
,9,5,6,78,83,FALSE,FALSE
,9,6,6,78,83,FALSE,FALSE
,16,7,7,78,83,FALSE,FALSE
,16,8,7,78,83,FALSE,FALSE
,16,9,7,78,83,FALSE,FALSE
,25,10,8,78,83,FALSE,FALSE
,25,11,8,78,83,FALSE,FALSE
,25,12,8,78,83,FALSE,FALSE
,37,13,9,78,83,FALSE,FALSE
,37,14,9,78,83,FALSE,FALSE
,37,15,9,78,83,FALSE,FALSE
,50,16,10,78,83,FALSE,FALSE
,50,17,10,78,83,FALSE,FALSE
,50,18,10,78,83,FALSE,FALSE
,63,19,11,78,83,FALSE,FALSE
,64,20,11,78,83,FALSE,FALSE
,64,21,11,78,83,FALSE,FALSE
,75,22,12,78,83,FALSE,FALSE
,75,23,12,78,83,FALSE,FALSE
,84,24,13,78,83,FALSE,FALSE
,84,25,13,78,83,FALSE,FALSE
,84,26,13,78,83,FALSE,FALSE
,91,27,14,78,83,FALSE,FALSE
,91,28,14,78,83,FALSE,FALSE
,95,29,15,78,83,FALSE,FALSE
,98,30,16,78,83,FALSE,FALSE
,98,31,16,78,83,FALSE,FALSE
,99,32,17,78,83,FALSE,FALSE
,99,33,17,78,83,FALSE,FALSE
,100,34,18,78,83,TRUE,FALSE
,0,0,1,84,89,FALSE,TRUE
,0,1,2,84,89,FALSE,FALSE
,1,2,3,84,89,FALSE,FALSE
,2,3,4,84,89,FALSE,FALSE
,5,4,5,84,89,FALSE,FALSE
,5,5,5,84,89,FALSE,FALSE
,5,6,5,84,89,FALSE,FALSE
,9,7,6,84,89,FALSE,FALSE
,9,8,6,84,89,FALSE,FALSE
,9,9,6,84,89,FALSE,FALSE
,16,10,7,84,89,FALSE,FALSE
,16,11,7,84,89,FALSE,FALSE
,16,12,7,84,89,FALSE,FALSE
,25,13,8,84,89,FALSE,FALSE
,25,14,8,84,89,FALSE,FALSE
,25,15,8,84,89,FALSE,FALSE
,37,16,9,84,89,FALSE,FALSE
,37,17,9,84,89,FALSE,FALSE
,37,18,9,84,89,FALSE,FALSE
,50,19,10,84,89,FALSE,FALSE
,50,20,10,84,89,FALSE,FALSE
,50,21,10,84,89,FALSE,FALSE
,63,22,11,84,89,FALSE,FALSE
,63,23,11,84,89,FALSE,FALSE
,75,24,12,84,89,FALSE,FALSE
,75,25,12,84,89,FALSE,FALSE
,75,26,12,84,89,FALSE,FALSE
,84,27,13,84,89,FALSE,FALSE
,84,28,13,84,89,FALSE,FALSE
,91,29,14,84,89,FALSE,FALSE
,95,30,15,84,89,FALSE,FALSE
,95,31,15,84,89,FALSE,FALSE
,98,32,16,84,89,FALSE,FALSE
,99,33,17,84,89,FALSE,FALSE
,99,34,17,84,89,TRUE,FALSE
,0,0,1,90,95,FALSE,TRUE
,0,1,1,90,95,FALSE,FALSE
,0,2,2,90,95,FALSE,FALSE
,1,3,3,90,95,FALSE,FALSE
,2,4,4,90,95,FALSE,FALSE
,2,5,4,90,95,FALSE,FALSE
,2,6,4,90,95,FALSE,FALSE
,5,7,5,90,95,FALSE,FALSE
,5,8,5,90,95,FALSE,FALSE
,5,9,5,90,95,FALSE,FALSE
,9,10,6,90,95,FALSE,FALSE
,9,11,6,90,95,FALSE,FALSE
,9,12,6,90,95,FALSE,FALSE
,16,13,7,90,95,FALSE,FALSE
,16,14,7,90,95,FALSE,FALSE
,16,15,7,90,95,FALSE,FALSE
,25,16,8,90,95,FALSE,FALSE
,25,17,8,90,95,FALSE,FALSE
,25,18,8,90,95,FALSE,FALSE
,37,19,9,90,95,FALSE,FALSE
,37,20,9,90,95,FALSE,FALSE
,37,21,9,90,95,FALSE,FALSE
,50,22,10,90,95,FALSE,FALSE
,50,23,10,90,95,FALSE,FALSE
,63,24,11,90,95,FALSE,FALSE
,63,25,11,90,95,FALSE,FALSE
,63,26,11,90,95,FALSE,FALSE
,75,27,12,90,95,FALSE,FALSE
,75,28,12,90,95,FALSE,FALSE
,85,29,13,90,95,FALSE,FALSE
,91,30,14,90,95,FALSE,FALSE
,91,31,14,90,95,FALSE,FALSE
,95,32,15,90,95,FALSE,FALSE
,98,33,16,90,95,FALSE,FALSE
,99,34,17,90,95,TRUE,FALSE
,0,0,1,96,107,FALSE,TRUE
,0,1,1,96,107,FALSE,FALSE
,0,2,1,96,107,FALSE,FALSE
,0,3,2,96,107,FALSE,FALSE
,1,4,3,96,107,FALSE,FALSE
,1,5,3,96,107,FALSE,FALSE
,1,6,3,96,107,FALSE,FALSE
,2,7,4,96,107,FALSE,FALSE
,2,8,4,96,107,FALSE,FALSE
,2,9,4,96,107,FALSE,FALSE
,5,10,5,96,107,FALSE,FALSE
,5,11,5,96,107,FALSE,FALSE
,5,12,5,96,107,FALSE,FALSE
,9,13,6,96,107,FALSE,FALSE
,9,14,6,96,107,FALSE,FALSE
,9,15,6,96,107,FALSE,FALSE
,16,16,7,96,107,FALSE,FALSE
,16,17,7,96,107,FALSE,FALSE
,16,18,7,96,107,FALSE,FALSE
,25,19,8,96,107,FALSE,FALSE
,25,20,8,96,107,FALSE,FALSE
,25,21,8,96,107,FALSE,FALSE
,37,22,9,96,107,FALSE,FALSE
,37,23,9,96,107,FALSE,FALSE
,50,24,10,96,107,FALSE,FALSE
,50,25,10,96,107,FALSE,FALSE
,50,26,10,96,107,FALSE,FALSE
,63,27,11,96,107,FALSE,FALSE
,63,28,11,96,107,FALSE,FALSE
,75,29,12,96,107,FALSE,FALSE
,84,30,13,96,107,FALSE,FALSE
,84,31,13,96,107,FALSE,FALSE
,91,32,14,96,107,FALSE,FALSE
,95,33,15,96,107,FALSE,FALSE
,98,34,16,96,107,TRUE,FALSE
,0,0,1,108,119,FALSE,TRUE
,0,1,1,108,119,FALSE,FALSE
,0,2,1,108,119,FALSE,FALSE
,0,3,1,108,119,FALSE,FALSE
,0,4,2,108,119,FALSE,FALSE
,0,5,2,108,119,FALSE,FALSE
,0,6,2,108,119,FALSE,FALSE
,1,7,3,108,119,FALSE,FALSE
,1,8,3,108,119,FALSE,FALSE
,1,9,3,108,119,FALSE,FALSE
,2,10,4,108,119,FALSE,FALSE
,2,11,4,108,119,FALSE,FALSE
,2,12,4,108,119,FALSE,FALSE
,5,13,5,108,119,FALSE,FALSE
,5,14,5,108,119,FALSE,FALSE
,5,15,5,108,119,FALSE,FALSE
,9,16,6,108,119,FALSE,FALSE
,9,17,6,108,119,FALSE,FALSE
,9,18,6,108,119,FALSE,FALSE
,16,19,7,108,119,FALSE,FALSE
,16,20,7,108,119,FALSE,FALSE
,16,21,7,108,119,FALSE,FALSE
,25,22,8,108,119,FALSE,FALSE
,25,23,8,108,119,FALSE,FALSE
,37,24,9,108,119,FALSE,FALSE
,37,25,9,108,119,FALSE,FALSE
,37,26,9,108,119,FALSE,FALSE
,50,27,10,108,119,FALSE,FALSE
,50,28,10,108,119,FALSE,FALSE
,63,29,11,108,119,FALSE,FALSE
,75,30,12,108,119,FALSE,FALSE
,84,31,13,108,119,FALSE,FALSE
,91,32,14,108,119,FALSE,FALSE
,95,33,15,108,119,FALSE,FALSE
,98,34,16,108,119,TRUE,FALSE
,0,0,1,120,131,FALSE,TRUE
,0,1,1,120,131,FALSE,FALSE
,0,2,1,120,131,FALSE,FALSE
,0,3,1,120,131,FALSE,FALSE
,0,4,1,120,131,FALSE,FALSE
,0,5,1,120,131,FALSE,FALSE
,0,6,1,120,131,FALSE,FALSE
,0,7,2,120,131,FALSE,FALSE
,0,8,2,120,131,FALSE,FALSE
,0,9,2,120,131,FALSE,FALSE
,1,10,3,120,131,FALSE,FALSE
,1,11,3,120,131,FALSE,FALSE
,1,12,3,120,131,FALSE,FALSE
,2,13,4,120,131,FALSE,FALSE
,2,14,4,120,131,FALSE,FALSE
,2,15,4,120,131,FALSE,FALSE
,5,16,5,120,131,FALSE,FALSE
,5,17,5,120,131,FALSE,FALSE
,5,18,5,120,131,FALSE,FALSE
,9,19,6,120,131,FALSE,FALSE
,9,20,6,120,131,FALSE,FALSE
,9,21,6,120,131,FALSE,FALSE
,16,22,7,120,131,FALSE,FALSE
,16,23,7,120,131,FALSE,FALSE
,25,24,8,120,131,FALSE,FALSE
,25,25,8,120,131,FALSE,FALSE
,37,26,9,120,131,FALSE,FALSE
,37,27,9,120,131,FALSE,FALSE
,50,28,10,120,131,FALSE,FALSE
,50,29,10,120,131,FALSE,FALSE
,64,30,11,120,131,FALSE,FALSE
,75,31,12,120,131,FALSE,FALSE
,84,32,13,120,131,FALSE,FALSE
,91,33,14,120,131,FALSE,FALSE
,95,34,15,120,131,TRUE,FALSE
,0,0,1,132,143,FALSE,TRUE
,0,1,1,132,143,FALSE,FALSE
,0,2,1,132,143,FALSE,FALSE
,0,3,1,132,143,FALSE,FALSE
,0,4,1,132,143,FALSE,FALSE
,0,5,1,132,143,FALSE,FALSE
,0,6,1,132,143,FALSE,FALSE
,0,7,2,132,143,FALSE,FALSE
,0,8,2,132,143,FALSE,FALSE
,0,9,2,132,143,FALSE,FALSE
,1,10,3,132,143,FALSE,FALSE
,1,11,3,132,143,FALSE,FALSE
,1,12,3,132,143,FALSE,FALSE
,2,13,4,132,143,FALSE,FALSE
,2,14,4,132,143,FALSE,FALSE
,2,15,4,132,143,FALSE,FALSE
,5,16,5,132,143,FALSE,FALSE
,5,17,5,132,143,FALSE,FALSE
,5,18,5,132,143,FALSE,FALSE
,9,19,6,132,143,FALSE,FALSE
,9,20,6,132,143,FALSE,FALSE
,9,21,6,132,143,FALSE,FALSE
,16,22,7,132,143,FALSE,FALSE
,16,23,7,132,143,FALSE,FALSE
,25,24,8,132,143,FALSE,FALSE
,25,25,8,132,143,FALSE,FALSE
,37,26,9,132,143,FALSE,FALSE
,37,27,9,132,143,FALSE,FALSE
,50,28,10,132,143,FALSE,FALSE
,50,29,10,132,143,FALSE,FALSE
,63,30,11,132,143,FALSE,FALSE
,75,31,12,132,143,FALSE,FALSE
,84,32,13,132,143,FALSE,FALSE
,91,33,14,132,143,FALSE,FALSE
,95,34,15,132,143,TRUE,FALSE
,0,0,1,156,167,FALSE,TRUE
,0,1,1,156,167,FALSE,FALSE
,0,2,1,156,167,FALSE,FALSE
,0,3,1,156,167,FALSE,FALSE
,0,4,1,156,167,FALSE,FALSE
,0,5,1,156,167,FALSE,FALSE
,0,6,1,156,167,FALSE,FALSE
,0,7,1,156,167,FALSE,FALSE
,0,8,1,156,167,FALSE,FALSE
,0,9,1,156,167,FALSE,FALSE
,0,10,2,156,167,FALSE,FALSE
,0,11,2,156,167,FALSE,FALSE
,1,12,3,156,167,FALSE,FALSE
,1,13,3,156,167,FALSE,FALSE
,1,14,3,156,167,FALSE,FALSE
,2,15,4,156,167,FALSE,FALSE
,2,16,4,156,167,FALSE,FALSE
,2,17,4,156,167,FALSE,FALSE
,2,18,4,156,167,FALSE,FALSE
,5,19,5,156,167,FALSE,FALSE
,5,20,5,156,167,FALSE,FALSE
,9,21,6,156,167,FALSE,FALSE
,9,22,6,156,167,FALSE,FALSE
,16,23,7,156,167,FALSE,FALSE
,16,24,7,156,167,FALSE,FALSE
,25,25,8,156,167,FALSE,FALSE
,25,26,8,156,167,FALSE,FALSE
,37,27,9,156,167,FALSE,FALSE
,37,28,9,156,167,FALSE,FALSE
,37,29,9,156,167,FALSE,FALSE
,50,30,10,156,167,FALSE,FALSE
,63,31,11,156,167,FALSE,FALSE
,75,32,12,156,167,FALSE,FALSE
,84,33,13,156,167,FALSE,FALSE
,91,34,14,156,167,TRUE,FALSE
,0,0,1,168,179,FALSE,TRUE
,0,1,1,168,179,FALSE,FALSE
,0,2,1,168,179,FALSE,FALSE
,0,3,1,168,179,FALSE,FALSE
,0,4,1,168,179,FALSE,FALSE
,0,5,1,168,179,FALSE,FALSE
,0,6,1,168,179,FALSE,FALSE
,0,7,1,168,179,FALSE,FALSE
,0,8,1,168,179,FALSE,FALSE
,0,9,1,168,179,FALSE,FALSE
,0,10,2,168,179,FALSE,FALSE
,0,11,2,168,179,FALSE,FALSE
,1,12,3,168,179,FALSE,FALSE
,1,13,3,168,179,FALSE,FALSE
,1,14,3,168,179,FALSE,FALSE
,2,15,4,168,179,FALSE,FALSE
,2,16,4,168,179,FALSE,FALSE
,2,17,4,168,179,FALSE,FALSE
,2,18,4,168,179,FALSE,FALSE
,5,19,5,168,179,FALSE,FALSE
,5,20,5,168,179,FALSE,FALSE
,9,21,6,168,179,FALSE,FALSE
,9,22,6,168,179,FALSE,FALSE
,16,23,7,168,179,FALSE,FALSE
,16,24,7,168,179,FALSE,FALSE
,25,25,8,168,179,FALSE,FALSE
,25,26,8,168,179,FALSE,FALSE
,37,27,9,168,179,FALSE,FALSE
,37,28,9,168,179,FALSE,FALSE
,37,29,9,168,179,FALSE,FALSE
,50,30,10,168,179,FALSE,FALSE
,63,31,11,168,179,FALSE,FALSE
,75,32,12,168,179,FALSE,FALSE
,84,33,13,168,179,FALSE,FALSE
,91,34,14,168,179,TRUE,FALSE
,0,0,1,180,299,FALSE,TRUE
,0,1,1,180,299,FALSE,FALSE
,0,2,1,180,299,FALSE,FALSE
,0,3,1,180,299,FALSE,FALSE
,0,4,1,180,299,FALSE,FALSE
,0,5,1,180,299,FALSE,FALSE
,0,6,1,180,299,FALSE,FALSE
,0,7,1,180,299,FALSE,FALSE
,0,8,1,180,299,FALSE,FALSE
