id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months,is_min,is_max
,91,29,14,84,89,FALSE,FALSE
,95,30,15,84,89,FALSE,FALSE
,98,31,16,84,89,FALSE,FALSE
,99,32,17,84,89,FALSE,TRUE
,0,0,1,90,95,TRUE,FALSE
,0,1,2,90,95,FALSE,FALSE
,1,2,3,90,95,FALSE,FALSE
,2,3,4,90,95,FALSE,FALSE
,2,4,4,90,95,FALSE,FALSE
,2,5,4,90,95,FALSE,FALSE
,5,6,5,90,95,FALSE,FALSE
,5,7,5,90,95,FALSE,FALSE
,5,8,5,90,95,FALSE,FALSE
,5,9,5,90,95,FALSE,FALSE
,5,10,5,90,95,FALSE,FALSE
,9,11,6,90,95,FALSE,FALSE
,9,12,6,90,95,FALSE,FALSE
,9,13,6,90,95,FALSE,FALSE
,9,14,6,90,95,FALSE,FALSE
,9,15,6,90,95,FALSE,FALSE
,16,16,7,90,95,FALSE,FALSE
,16,17,7,90,95,FALSE,FALSE
,16,18,7,90,95,FALSE,FALSE
,16,19,7,90,95,FALSE,FALSE
,25,20,8,90,95,FALSE,FALSE
,25,21,8,90,95,FALSE,FALSE
,25,22,8,90,95,FALSE,FALSE
,25,23,8,90,95,FALSE,FALSE
,37,24,9,90,95,FALSE,FALSE
,50,25,10,90,95,FALSE,FALSE
,50,26,10,90,95,FALSE,FALSE
,63,27,11,90,95,FALSE,FALSE
,75,28,12,90,95,FALSE,FALSE
,84,29,13,90,95,FALSE,FALSE
,91,30,14,90,95,FALSE,FALSE
,95,31,15,90,95,FALSE,FALSE
,98,32,16,90,95,FALSE,TRUE
,0,0,1,96,107,TRUE,FALSE
,0,1,1,96,107,FALSE,FALSE
,0,2,2,96,107,FALSE,FALSE
,1,3,3,96,107,FALSE,FALSE
,1,4,3,96,107,FALSE,FALSE
,1,5,3,96,107,FALSE,FALSE
,2,6,4,96,107,FALSE,FALSE
,2,7,4,96,107,FALSE,FALSE
,2,8,4,96,107,FALSE,FALSE
,2,9,4,96,107,FALSE,FALSE
,2,10,4,96,107,FALSE,FALSE
,5,11,5,96,107,FALSE,FALSE
