id,Percentile_Rank,Rapid_Letter_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,16,79,7,60,65,FALSE,FALSE
,25,78,8,60,65,FALSE,FALSE
,25,77,8,60,65,FALSE,FALSE
,25,76,8,60,65,FALSE,FALSE
,25,75,8,60,65,FALSE,FALSE
,25,74,8,60,65,FALSE,FALSE
,25,73,8,60,65,FALSE,FALSE
,25,72,8,60,65,FALSE,FALSE
,25,71,8,60,65,FALSE,FALSE
,37,70,9,60,65,FALSE,FALSE
,37,69,9,60,65,FALSE,FALSE
,37,68,9,60,65,FALSE,FALSE
,37,67,9,60,65,FALSE,FALSE
,37,66,9,60,65,FALSE,FALSE
,37,65,9,60,65,FALSE,FALSE
,50,64,10,60,65,FALSE,FALSE
,50,63,10,60,65,FALSE,FALSE
,50,62,10,60,65,FALSE,FALSE
,50,61,10,60,65,FALSE,FALSE
,50,60,10,60,65,FALSE,FALSE
,50,59,10,60,65,FALSE,FALSE
,50,58,10,60,65,FALSE,FALSE
,50,57,10,60,65,FALSE,FALSE
,50,56,10,60,65,FALSE,FALSE
,50,55,10,60,65,FALSE,FALSE
,63,54,11,60,65,FALSE,FALSE
,63,53,11,60,65,FALSE,FALSE
,63,52,11,60,65,FALSE,FALSE
,63,51,11,60,65,FALSE,FALSE
,63,50,11,60,65,FALSE,FALSE
,63,49,11,60,65,FALSE,FALSE
,63,48,11,60,65,FALSE,FALSE
,63,47,11,60,65,FALSE,FALSE
,63,46,11,60,65,FALSE,FALSE
,75,45,12,60,65,FALSE,FALSE
,75,44,12,60,65,FALSE,FALSE
,75,43,12,60,65,FALSE,FALSE
,75,42,12,60,65,FALSE,FALSE
,75,41,12,60,65,FALSE,FALSE
,75,40,12,60,65,FALSE,FALSE
,75,39,12,60,65,FALSE,FALSE
,75,38,12,60,65,FALSE,FALSE
,75,37,12,60,65,FALSE,FALSE
,75,36,12,60,65,FALSE,FALSE
,75,35,12,60,65,FALSE,FALSE
,84,34,13,60,65,FALSE,FALSE
,84,33,13,60,65,FALSE,FALSE
,84,32,13,60,65,FALSE,FALSE
,84,31,13,60,65,FALSE,FALSE
,84,30,13,60,65,FALSE,FALSE
,84,29,13,60,65,FALSE,FALSE
,84,28,13,60,65,FALSE,FALSE
,84,27,13,60,65,FALSE,FALSE
,91,26,14,60,65,FALSE,FALSE
,91,25,14,60,65,FALSE,FALSE
,91,24,14,60,65,FALSE,FALSE
,91,23,14,60,65,FALSE,FALSE
,91,22,14,60,65,FALSE,FALSE
,91,21,14,60,65,FALSE,FALSE
,91,20,14,60,65,FALSE,FALSE
,95,19,15,60,65,FALSE,FALSE
,95,18,15,60,65,FALSE,FALSE
,95,17,15,60,65,FALSE,FALSE
,95,16,15,60,65,FALSE,FALSE
,95,15,15,60,65,FALSE,FALSE
,98,14,16,60,65,FALSE,FALSE
,99,13,17,60,65,FALSE,FALSE
,100,12,18,60,65,FALSE,FALSE
,100,11,19,60,65,FALSE,FALSE
,100,10,20,60,65,FALSE,TRUE
,2,113,4,56,59,TRUE,FALSE
,5,112,5,56,59,FALSE,FALSE
,5,111,5,56,59,FALSE,FALSE
,5,110,5,56,59,FALSE,FALSE
,5,109,5,56,59,FALSE,FALSE
,5,108,5,56,59,FALSE,FALSE
,5,107,5,56,59,FALSE,FALSE
,5,106,5,56,59,FALSE,FALSE
,5,105,5,56,59,FALSE,FALSE
,9,104,6,56,59,FALSE,FALSE
,9,103,6,56,59,FALSE,FALSE
,9,102,6,56,59,FALSE,FALSE
,9,101,6,56,59,FALSE,FALSE
,9,100,6,56,59,FALSE,FALSE
,9,99,6,56,59,FALSE,FALSE
,9,98,6,56,59,FALSE,FALSE
,9,97,6,56,59,FALSE,FALSE
,9,96,6,56,59,FALSE,FALSE
,9,95,6,56,59,FALSE,FALSE
